populate     填充
insufficient 不足
store        储存
require      要求
permit       允许
permission   允许
prepending   前置
breed        品种
pair         双,对
among        其中
candidate    候选人
male         男
female       女
straight     直行
associate    关联
forget       忘记
structure    结构
call         叫,称为
through      通过
via          通过
pass         通过,传
output       输出
display      显示
batch        批量
interactive  互动
interact     相互作用
tell         告诉
cause        原因,导致
reason       原因
reasonable   合理
parameter    参数
execut       执行
perform      执行
enforce      执行,强制
implement    实现,执行,落实
realize      实现
few          少数
repeatedly   反复
avoid        避免
prevent      避免
generate     生成
edit         编辑
develop      开发
sequence     顺序,序列
consequence  后果
mistake      错误
screen       屏幕
catch        捕捉 
further      进一步
situation    情况
format       格式
concise      简洁
echo         回声
prompt       提示
common       共同,常见
collaborate  合作,串通
maximum      最大值
deactivate   停用
hold         保持,保存
maintenance  保持
wise         明智
variable     变量
foreign      外
solve        解决
article      文章,物品
item         项目
deal         合同
dealer       经销商
primary      主
master       主
tool         工具
highest      最高
most         最
expensive    昂贵
query        询问,疑问,质问
subquery     子查询
solution     解答
correlate    相关
efficient    有效率的
inefficient  低效的
possibility  可能性
great        极大,大
correspond   对应
employ       采用
adopt        采用
remember     记得
temporary    临时
client       客户
prepare      准备
however      然而
actual       实际
actually     其实
effect       效果
serve        服务
memo         备忘录
intend       打算
refer        参考
reference    参考
extreme      极端
extremely    非常
response     响应
induce       诱导
whatsoever   任何
whatever     任何
although     虽然
though       虽然
remind       提醒
definition   定义
well         好
tricky       棘手的
merge        去
calculate    计算
bit          一点
include      包含
automatic    自动
removal      清除
duplicate    重复
iterate      重复
program      程序
authenticate 认证
configuration 构造
construct    构造
deconstruct  解构
attribute    属性
proper       正确
property     属性
properly     适当的,好好儿地
identity     身份
penguin      企鹅
whale        鲸鱼
ostrich      鸵鸟
assign       分配
assignment   分配
assignee     代理人
distribution 分配
allocation   分配
distribute   分发
therefore    因此
automatically 自动的
less         少
unless       除非
declare      宣告,声明
squirrel     松鼠
reset        重置
recent       最近
integer      整数
reach        到达
preach       讲道,传教
breach       突破口,缺口
upper        上
limit        限
attempt      尝试
permissible  允许的
reproduce    复制
copy         复制,复印
replication  回答 
setup        设定
triangle     三角形
secondary    次要的
prefix       字首
mammal       哺乳动物
available    可用的
behave       表现
manifest     表现
depend       依赖
dependency   依赖
system       系统
tutor        导师
tutorial     教程
chapter      章
brief        简要
overview     概貌
corporation  公司
specific     具体
specification  规格,规范
full         充分,详细
individual   个人  
they         他们
recognize    认识,辨认
cluster      集群
platform     平台
startup      启动
special      专门
specialize   专修,主修
forth        往前
upgrade      提升
addition     增加,加成
additional   额外
extra        额外
override     渺视,废除
invoke       调用
invocation   调用
company      公司,企业
accompany    伴随
assist       辅助
daemon       守护进程
directory    目录
level        级别,水平
manage       管理
management   管理
administer   管理
administrative 行政,管理
improve      提高
increase     增加,提高
safe         安全
secure       安全
certificate  证书
required     需要
zone         区
describe     描述
description  描述
grant        准许
incompatibility   不兼容
repair       修理
drop         下降
fall         下降,落下
reopen       重新启动
disk         唱片,磁盘
flush        刷新
backup       备用
alternate    备用
alter        改变,修改
alternative  另类,二中择一的
alternatively 或者
respect      尊重,方面
respective   各自
advance      提前,促进
advanced     高级
relational   关系
relationship 关系
design       设计
layout       布局,设计
emulate      仿真
report       报告
stage        阶段
access       访问
load         加载,负载
utility      效用
offline      离线
compress     压缩
credential   凭据
encrypt      加密
recover      恢复
crash        意外
summary      总结
miscellaneous  杂,各种各样的
decompress   解压缩
unzip        解压缩
evaluate     评价
migrate      迁移
schema       概要
communicate  通信
environment  环境
debugging    调试
follow       跟随
instruct     指导,指令
sample       样本
affect       影响
lead         领导,带领
account      帐户
understand   理解
pipe         管道
whenever     每当
convenient   方便
consult      请教
modify       修改
practice     实践
purpose      目的
aim          目的
instance     实例
handy        便利
technical    技术
technique    技术
technology   技术
precaution   预防
conflict     冲突
skip         跳跃
advantage    优点
type         打字,类
legal        合法
sign         符号,标志
symbol       符号
pace         步伐,速度
space        空间
equivalent   相等的
latter       后者
intervene    介入
argument     论点
consequently 所以
underscore   下划线
suffix       后缀
multiply     乘
uppercase    大写
sleeping     睡眠
seconds      秒
metacharacter  元字符
interpreted  解释执行
interpret    翻译
expect       期望
quote        引用
semicolon    分号
exit         出口
enclosed     封闭的
enclose      括，围
quotation    引句
mark         标记
market       市场
escape       逃逸
escaping     转义
dictate      听写,主宰
choice       选择
chosen       选择
round        圆,范围,团
rounding     四舍五入
around       围绕,周围
ground       理由,地面
surround     周围,环绕
manual       手册,手工
sometime     某时
plain        平淡
persist      坚持
persistent   一贯,持久的
upon         在...之上
inclusive    包括
incorporate  包括,合并
location     地点
place        放置,地点
placement    放置
intentional  故意
measure      衡量
locate       定位,发现
located      位于
reside       居住,在于
resident     居民
exclude      排除
will         将
dashes       破折号
dashed       虚线
per          每
form         形式,形成,表格
character    字符
something    某事,某物
useful       有用
trail        落后
backspace    退格键
carriage     运输
traffic      交通,运输
backslash    反斜杠
apply        应用
pertinent    应用，相关的
application  应用
relevant     相关的
remain       残留,留下
remains      遗迹
retain       保留
preserve     保留
reserve      保留
literal      文字
differ       不同
slightly     略
come         来,发生,过来
become       成为
especially   特别
possibly     或者
accessible   合宜的
discover     发现
found        发现
put          放
quit         退出
typical      典型
typically    通常
sent         已发送
release      发布,推出,释放
post         发布,邮
series       系列
version      版
possible     可能
directive    指示
there        那里
make         使,制作
made         制作
guarantee    保证
extension    延期,伸展
inaccessible 无法进入,闭塞
relative     相对的,亲戚
introduce    介绍
position     位置
site         位置,现场
even         甚至 
consider     考虑
considerations  注意事项
due          到期,应有
expire       到期
print        打印
mask         隐藏,面具
modifier     修饰符
boolean      布尔值
control      控制
turn         轮流
initial      初始
issue        问题
point        点,分,问题,指明
session      会议,学级
heap         堆
stack        堆
internal     内部
runtime      运行
buffer       缓冲
byte         字节
megabyte     兆字节
unit         单元,单位
kilobyte     千字节
gigabytes    千兆字节
without      没有,在外,离
nothing      无,没有
ambiguous    含糊,暧昧
aware        察觉
event        事件
future       未来
hand         人,手
convention   惯例
occasion     机会,时机
occasional   偶然
always       总是
computer     电脑
compute      计算
whose        谁
shut         关闭
shutdown     关掉,关闭
since        自从,既然,以来
wish         希望
abort        中止
entry        输入
establish    建立
install      安装
protocol     协议
memory       记忆
socket       插口
hint         暗示
imply        暗示,意味着,暗含着
mean         意味着
side         侧
optional     可选的
member       会员
which        哪一个
remote       远程
suggest      建议
disable      禁用
trust        信任
cipher       密码
revocation   撤销,废止
desire       欲望
state        状况
request      请求
exchange     交换
as           如
over         过度,太,以上
above        以上
negate       否定
least        最小
neither      都不,也不
nor          也不
still        仍然
accord       符合
conform      符合
restrict     限制
portability  可移植性
colon        冒号
cryptographic  关于暗号的
strict       严格
private      私有
protect      保护
phrase       词组
correct      正确
incorrect    不正确的
better       更好
back         背面,后
fail         失败
failure      失败,事故
again        再次
against      反对,针对
subject      主题
topic        主题
mismatch     不匹配
attack       攻击
self         自
verbatim     逐字
despite      尽管
reject       拒绝
requirement  需求
library      图书馆，文库
leave        离开
hole         洞
deprecate    弃用
algorithm    算法
legacy       遗产
inherit      继承
inheritance  遗产
large        大
trouble      麻烦
troubleshoot 故障排除
later        后来
nonoption    非选择
mention      提到
risk         风险
wait         等待
routine      常规
limitation   局限性
unacceptable 不可接受的
tend         趋向,易于
period       时期,句号
ensure       确保
accept       接受
acceptance   验收,承认
previous     以前
unable       无法
term         术语
uniform      制服
resource     资源
identify     鉴定
cover        覆盖
classic      经典
guess        猜
insecure     不安全的，靠不住
recommend    推荐
encode       编码
percent      百分之
eliminate    消除
append       附加
singular     单数
detail       详情
plural       复数
suit         适合
suite        套房
unresponsive 没有反应
performance  性能
usual        通常
miss         小姐,错过
identifier   识别号
important    重要
replace      更换,替换
assemble     集合,组合
dictionary   字典
consist      组成
consistent   一致的,一贯
mix          混合
peer         同等的,窥视
natural      自然
regardless   无论
concept      概念
unlike       不像
for          因为,对于，为，给
fundamental  基本原理
generation   代
experience   经验
artistry     技艺,艺术性
author       作者
authority    权力
profile      轮廓
extensible   可扩展的
feat         功绩,熟练的
feature      特征,特性
functional   功能,实用
approach     途径,来临
embed        嵌入
panel        面板
pane         窗格
pan          锅
sidebar      侧边栏
browser      浏览器
cohesive     内聚的,拼合的
logic        逻辑
core         核心
introductory 前言的,介绍性的
current      当前
navigate     导航
menu         菜单
hover        徘徊
scan         浏览,扫描
interface    接口,界面
pop          射击,流行乐曲,枪击
popup        弹出
designate    指定
toolbar      工具栏
fold         折叠
folder       夹
scale        规模
action       行动
grab         抓,抢
then         然后
layer        层
trigger      触发
inject       注入
unwanted     空闲
fully        充分地,十分,备
reduce       减少
decrease     减少
decompression   减压
benefit      效益
folk         民间
bandwidth    带宽
transfer     传递
dominate     支配
cost         成本
monitor      监控
part         部分
participate  参加
particular   特定
slave        奴隶,附件
shorthand    速记
context      前后关系
dependent    依赖的,属
independent  独立
incoming     传入,来
donor        施主,捐赠者
subsequent   随后的,连串
initiate     发起
negotiation  谈判,交涉
congestion   拥塞
prior        先,过急的
semantic     语义的
union        联盟, 协会
plus         加,附加的
status       状态
nearly       几乎
outline      概述,大纲
minor        次要
variation    变动
wherever     无论何处
prefer       宁可,情愿
below        下面
paragraph    段落
blank        空白
break        打断,打破
emphasis     重点
asterisk     星号
italic       斜体
emphasize    强调
nest         巢穴,嵌套
experiment   实验
organize     组织
fence        栏
horizontal   水平的,横
themselves   他们自己
quick        快
quickly      很快
angle        角度
somewhere    某处
elsewhere    别处
punctuation  标点
rough        大概
probably     大概
anywhere     随处,任何地方
raw          原
hard         难,辛苦
exclamation  感叹
asset        资产,财富
wealth       财富
basis        基础
popular      流行
visible      可见
invisible    无形,看不见的
highlight    突出
lightweight  轻巧的
compatible   兼容
hyphen       连字符号
cell         细胞,元件
vary         变化,不等
tip          小费,顶尖
tedious      乏味
speed        速度
generator    发电机,发生器
graph        图形
alignment    对准，队列
inconvenient 不方便
best         最好的
line         行列
footnote     脚注
clutter      混乱
superscript  铭文的
caret        插入符
direct       直接
curly        卷曲
braces       大括号,背带
website      网站
tilde        波浪号
permanently  长年地，永久性
console      安慰
server       服务器
known        已知的
dynamic      动态,活跃
characteristic  特性,特点
restart      重新开始
these        这些
executable   可实行的
backward     向后
compatibility   兼容性
schedule     时间表
kill         杀
stray        迷路,游荡
soap         肥皂
fault        故障
receive      接收
outgoing     外向,去的
bear         熊,承担
bearer       持票人,来人,负担者
serialize    连载
deserialize  反序列化
stub         存根,根除
both         都,二者
parse        解析
repository   资料库
sole         独,唯一
alone        单独,独自
pull         拉
community    社区
professional 专业的
contact      联系
frame        帧,框架
framework    构架
ever         常,曾经
urge         督促,促使
sane         合理的,明智的
converter    转换器
convert      变换
conversion   转换
conversely   反过来
extensive    广泛
wide         广泛,宽
smart        聪明,高明
shoot        射击
danger       危险
fear         恐惧
grow         增长,长
middle       中间
nightly      每夜
lost         丢失,迷
worry        担心
surprise     吃惊
inexplicable 费解的
bad          坏
unnecessary  不必要
logging      注册
pool         水池,汇总
link         链接
ready        准备, 预备
already      已经
outside      以外
cannot       不能
empty        空
suppress     压制
facility     设施
excess       过量,过度,多余的
excessive    过多
arrange      安排
destination  终点
native       本地人,土著
adjust       调整
nonstandard  异常
signal       信号
silent       默默,无声
absolute     绝对,独立的
forever      永久
negative     负
negation     否定
positive     正
range        范围
separate     分离
whitespace   空格
anything     诸,任何东西
single       单
verbose      罗唆
sure         肯定,当然
beware       谨防
thread       线
privilege    特权
terminate    临界,办到,满期
segment      分割
broken       破碎
unbroken     不中断的
illustrate   说明
gap          差距
flexibility  灵活性
along        沿,顺
way          方法
local        本地
anonymous    匿名
anyone       任何人
usage        用法
strength     强度
attend       出席
dedicated    专用
draft        草案
confuse      迷惑
trademark    商标
trader       商人
trade        行业,商业
synchronous  同步
asynchronous 异步
potential    潜在
fetch        取
cross        交叉
across       横过
misunderstand  误解
loop         环,循环
deploy       部署
external     外部
real         真实
excellent    优秀
twelfth      第十二
invent       发明
effort       功夫
assert       断言
primitive    原始      
universal    普遍
cultural     文化
airplane     飞机
tooth        牙
sound        声音
disturb      打扰,干扰
moment       时刻
channel      渠道,引导
shake        抖动
nearby       附近
official     官方, 正式
contingent   队伍
lower        降低
barrier      屏障
favor        偏爱
favorite     喜爱
tick         信用,抽搐
stick        棒,棍子
sticky       黏
mood         心情
during       中
tamper       篡改
transit      通过
transition   过度
owner        所有者
absence      不在,缺席
flow         流
revoke       撤消
compliance   承诺
consent      同意
scope        范围
abuse        滥用
attach       连接
attache      随员
claim        要求
material     材料
act          作为,法案
derive       派生
orient       东方
orientation  方向
complex      复杂
free         自由
throughout   始终
familiar     熟悉的,亲切
isolation    隔离
shot         镜头,射击
crawl        爬行
automate     使自动化
submission   归顺,服从,应用
keyboard     键盘
etc          等等
latest       最新
capture      捕获
diagnose     诊断
spin         转动
scenario     脚本,情景
fact         事实
past         过去
mind         头脑,精神,注意
doubt        怀疑
afterward    后来
afterwards   然后,之后
shape        形状
happen       发生
initialize   初始化
revision     调整
altogether   总共
shortened    减
consolidate  固,站住
likewise     还有
intercept    阻止,侦听
fine         精细, 良好
finer        优越
grain        粮食,纹理,谷类
random       随机
pretty       漂亮
notify       通知
wrong        错误
prove        证明
ourselves    我们自己
coup         政变
couple       双,联结
infer        推断
inference    推理,推论
talk         谈论
grid         格子
abstract     抽象
abstraction  抽象概念
signature    签名
almost       几乎
nature       性质
static       静态,静止
think        认为
precise      精确,准确
tradition    传统
fee          费用, 收费
feel         感觉
awkward      尴尬
comfort      舒服,安静
comfortable  自在
major        主要
early        早
mimic        模仿
role         角色
choose       选择
recap        概括
firm         公司
mechanic     机械
piece        片,部分
simple       简单
off          离,隔断
whole        整个
readability  可读性
fat          胖
arrow        箭头
reflect      反映,体现
cut          切
amount       等于,合计
fit          适合
disappear    消失
behind       背后
rest         其余,休息,放心
ultimate     最终
gather       收集,聚集
boundless    无限,苍茫
ellipsis     省略
allow        允许
rite         仪式
passage      通道,片段,航程
spot         点,识别
fortunate    幸运
explain      说明
inner        内
power        动力, 力量, 力
powerful     强大,有力,强劲
flexible     灵活
notorious    臭名昭著
fix          固定,确定,修理
bound        界,范围
warn         警告
flag         旗子,旗帜
compile      编译
compiler     编辑,编者
implicit     隐含的,含蓄
annotate     注释,注解
fake         假,伪造
clear        明确,清楚
unfortunate  不幸
detect       检测
outer        外,以外
prototype    原型
overload     超载
inherent     固有
uncommon     罕见,稀有
thing        事情
deck         装饰,阳台,甲板
pick         选择
resolve      解决
proceed      继续,前往
custom       习俗, 习惯, 风俗, 惯例
customize    定制
concrete     具体
collect      收集, 收藏, 采集, 搜集
collective   集体
narrow       狭窄
chance       机会,偶然
contrast     对比
contra       反对
inform       通知,告知
infinite     无限的
finite       有限
guard        守护
intersect    相交,交叉
atomic       原子
compose      撰写,组成,组合
scratch      抓
hierarchy    阶层
hierarchic   阶级式
little       小
vertical     垂直
bar          酒吧,槛
intuit       直觉
closely      密切
constant     常量,不变
constantly   经常,时刻
intent       意图
distinct     不同
care         关心
subtle       微妙
while        而,却,正在
serial       连载,依次的
opaque       不透明
convey       传达
heterogeneous  异质
clever       聪明
advise       劝告
basic        基本的
basically    基本上
parenthesize 插
e.g.         例如
minus        减去
yet          然而
lever        杠杆
leverage     杠杆作用
sillly       愚蠢
overlap      交叠
circuit      线路,流程,环行
sense        意义,感觉,道理
mapping      映射
forward      向前
perfect      完美
tight        紧张,严格,困难的
pay          工资,付款,交纳
indirect     间接
regular      规则,定期,通常
irregular    不规则
compilation  汇集
introduction 介绍
software     软件
engine       引擎
engineer     工程师
capable      能
tomorrow     明天
variety      品种
consume      消耗
consumer     消费者
lose         失去
perhaps      也许,恐怕,想必
tempt        勾引,诱惑
nowhere      无处
stand        忍受,主张,支架
someone      某人,谁
bind         约束,捆绑
explore      探索
effective    有效
lock         锁
aspect       方面
assumption   假设,采取
accidental   偶然
factor       因素,条件
factory      工厂
mode         模式,办法
model        模型
tandem       前后直排的,串联
global       全球
differentiate  区分,鉴别
idiom        成语
presence     存在
constituent  组分,选举者,构成的
branch       支,部门
predicate    谓语,断言
simply       只是,根本,简直
pain         疼痛,痛苦
luck         幸运,运气
idea         理念,思想,主意
borrow       借
industry     行业
bill         法案
dollar       美元
onward       向前
chain        链
rid          使免除
obvious      明显
terse        简练
terrible     可怕
bend         弯曲
everywhere   随处,随地
seldom       很少
singleton    独身
discriminate 辨析, 区别, 鉴别
tag          标签
algebra      代数学
ingredient   成分
unrelated    无关
variant      变种
exhaust      排气,耗尽
exhaustive   详细,全面的
besides      除了,此外
fluent       流利
operation    行动
manufacture  制造
example      例子
interchangeable  通用
ahead        向前,先
instant      瞬间,即刻
transform    转换,改变
resemble     类似,像
result       导致,结果
clue         线索
essential    必要,必需
essentially  本质上
unwrap       滩开
ability      能力
defer        服从,延缓
conclude     断定,闭幕
substitute   替代,替换
decide       决定, 判断
meantime     与此同时, 顺便
naked        赤裸裸,明白的
furthermore  此外
presumably   想必
resolute     坚决,果断
resolution   决心
erase        抹去
namely       换句话说
straightforward  爽快,直截了当,坦率
nuance       意义,细微差别
throw        扔, 抛, 投, 丢, 投射, 投入
nominal      挂名, 虚设
unsound      不健全,腐烂的
careful      小心
motivate     刺激,激励
motivation   动机
wonder       奇迹,怀疑
discard      丢弃,废弃
nevertheless 虽然,还是,不过
vice         恶,坏脾气,副
rare         罕见
raise        提高
praise       赞美
perspective  透视,远景
predict      预测
mechanism    机制
practical    实用,实际
flatten      弄平, 打倒
default      默认
split        分裂
deem         认为
responsible  有责任,自负
interest     兴趣,利益
compliant    符合
volume       体积,音量
boot         好处,利益
launch       发射,发动
expose       暴露
another      另一个
translate    翻译
emit         发射,发出
maintain     保持,维护
excerpt      摘抄,片段
revolution   革命
interpose    干预
interpolate  插
logical      合理的,通
sheet        片,床单
introspection  自我检查
coercion     强迫,压迫
expansion    扩张
coda         结尾
transparent  透明,清澈
vendor       滩
cool         凉,冷静
difficult    困难
difficulty   困难
right        向右,对
float        浮动,漂浮
clip         修剪,弹夹
overflow     溢出, 溢流
boundary     边界,界限
edge         边缘
flip         翻动,发呆
pure         纯,单纯
pseudo       冒充的
virtual      虚拟
mouse        鼠标,老鼠
cursor       光标
coordinate   坐标,协调
lack         缺乏,缺少
drawback     缺陷
naive        幼稚,老实
scroll       滚动
contain      包含
container    容器,箱子
stay         逗留,留下
ancient      古老,久远
slow         缓慢,迟缓
elegant      优雅,高雅,优美
manner       方式,态度
reliable     可靠,确切
incredible   难以置信
spend        花,花费
numerous     众多
foundation   基础
nowadays     如今,现在
glad         高兴
citizen      市民,公民
offset       弥补,抵消,移动的
truly        忠实地,真实地
minimum      极少,起码,最低限度
minify       缩小,削减
ad           广告
far          远
toward       对于,对着
rotate       轮流,环绕
diamond      菱形,钻石
distance     距离
alive        活,敏感的
destroy      破坏,摧毁
course       课程,进程
goal         目标
theme        主题,话题
heart        心,心脏,内心
strategy     战略,筹略
reposition   复位,新位置
jump         跳跃
jumpiness    易变,跳动
rely         依靠
step         步骤,措施
everything   事事,万事,一切
fire         火,解雇,射击
hook         钩子,钩住
cycle        周期,循环,骑车
phase        阶段,时期,段落
deliver      交付,传递
hence        此后,今后,于是
divide       划分,分,分裂,除
scatter      分散,散开,离散
measurement  尺寸,大小
overall      整体,全面,总之
granular     粒状
mutation     突变,变动
cleanup      净化,清洁器,清理
manipulate   操作,操纵
displace     替换, 顶替, 换置
tune         曲调,调
skid         刹车
skidding     集材
away         远离,离去
half         半, 一半, 半数
area         区,地区
axis         轴
replicate    复制,折叠
tether       拘束,系链
touch        触摸,碰触,联系
opposite     对面,相反
detach       分离
corner       角落,垄断,拐角
revert       还原,归还
versatile    多才多艺
dimension    尺寸, 维, 尺度, 大小
jitter       抖动,发抖
accelerate   加速,加快,促进
likelihood   多半,样子,可能性
delegate     代表,发
animate      动画,活跃
encourage    鼓励,促进,提倡
publish      发布
patch        补丁,傻瓜
optimal      最佳
lot          命运,运气,遭遇,抽签
achieve      实现, 达到, 做到, 成就
bare         裸露,露出,空
tiny         微型,小
disadvantage 坏处,弊病,危害
attract      吸引
registry     注册处
continent    大陆,镇静的
command      命令
terminal     终端
adapt        改写,适应
team         团队
teammate     队友
puzzle       难题,困扰
invite       邀请,约请,招致
product      产品
newsletter   通讯
credentials  证书
numeral      数字,数词
meet         满足,会面
guide        指南,指导
license      许可,牌照
agreement    协议,合同
privacy      隐私
policy       政策,方针
spell        拼写, 拼字
misspell     拼写错误
strong       强大
significant  重大,重要
compromise   妥协,折中
malicious    恶毒,凶狠
actor        演员,艺人
enter        输入,进入
weak         弱
drag         拖动
device       设备
cancellation 消除
dashboard    仪表盘
donate       捐赠
splice       拼接
notable      显著
stable       稳定
down         向下
hobby        爱好
enterprise   企业
kept         保持
feedback     反馈
innovation   革新
believe      相信
challenge    挑战
ideal        理想
continue     继续
openness     透明度,正直
source       来源,根源
thrive       兴旺
world        世界
contribute   有助于
contributor  捐赠者,贡献者
advice       忠告, 劝告, 通知
spawn        卵
once         一次, 曾经
remark       备注, 注释
perk         过滤,自信的
sudden       忽然,意外
commit       承诺,保证
artifact     人工品
fresh        新鲜,冒失的
declarative  陈述
live         居住,重要
vocabulary   词汇
leak         泄漏
huge         巨大
pillar       支柱
refuse       垃圾
flavor       味道
flavour      味道
intermediary 中介
compete      竞争
dozen        多数,一打,十二
filter       过滤,筛选
billion      万亿
polymorphic  多态的
life         生活
facilitate   促进
frozen       冻结的
propagate    传播
simultaneously  同时
beyond       以外,在...以外
decorate     装饰
proposal     提案,提议
composition  组成,结构
mathematics  数学
composing    构成
composite    综合,合成的
ambient      环境
seal         密封
record       记录
propose      提出,建议
ordinal      顺序数,序数词
terminology  术语
nomenclature 命名法
allude       暗示
scheme       方案
collision    碰撞
preface      前言
concatenate  连环
frown        看不惯,皱眉
interrelated 相关
story        故事,诉说
simulate     模拟
zoom         放大
gem          宝石
radius       半径,范围
fill         填
contract     合同,收缩,合约
lenient      宽容
worth        价值,意义
bag          包,袋子
illegal      非法
ask          问,要求
sneak        潜行
argue        争论
insignificant  微不足道
stance       姿态
treat        处理,治疗,对待
treatment    治疗
undergo      经历
revise       修改
implied      隐晦,默示
prohibit     禁止,阻止
convenience  方便,便利
hybrid       混血
rich         丰富,富裕
encounter    遭遇
descendant   后辈,后人
alike        一样
span         跨度,广度
inappropriate  不当,不妥
gradual      缓,渐进的
acquire      获得
impact       碰撞,影响
preference   偏爱
door         门
dot          点
dotted       点缀,点线的
notation     符号
bubble       泡沫
onto         到...之上
toy          玩具,玩弄
module       组件
rose         玫瑰
ship         运送,船只
recall       召回,记得
intrinsic    固有
distinguish  区分
indistinguishable  难以区分,隐约
former       前,原先
whichever    任何
speak        说话
audience     听众
rate         速率,速度
paper        纸,论文
supersede    取而代之
snapshot     乱射,快照
endorse      拥护,合法化
endorsement  背书,支持
membership   会友
patent       专利,明白的
govern       治理
improvement  起色,丰富,改善
deadline     期限
outstanding  优秀,突出
disposition  性格,部署
approval     赞同,承认
reveal       揭示,透露
morph        变形
advisory     咨询
advisable    明智的
errata       勘误表
inconsistent 不符
onerous      繁重的
underway     进行
friction     摩擦
hypothetical 假想
parcel       包
analog       类似物,相似体
fulfill      履行,兑现, 实践
sugar        糖,使...甜些
superior     优越,优良
tear         撕,拆
bothersome   焦急,伤脑筋
tidy         整洁,收拾
imagine      想像,设想
complicate   复杂化
temptation   诱惑
hit          击中
fragile      脆弱,易碎
demand       需求
taste        味道,品尝
cherry       樱桃,无辜
visual       视觉的
visualize    想象,形象化,想起
human        人道,有人性的
collaborator 合作者
stuff        东西,填充
depth        深度
discord      异议,不和
alongside    并肩,并排
asymmetric   非对称
fantastic    奇妙,空想的
stylistic    体
promote      促进
fight        斗争,争取
habit        习惯
regenerate   再生
strive       努力,奋斗
outdate      过时
integration  积分
regress      回归,退步
elapse       推移,流逝
swap         交换,掉换
endless      无穷
desirable    合意,要得,可取的
millisecond  毫秒
queue        队列,顺序
adjacent     合宜的,邻近的
contrive     发明,图谋,努力
amend        修改
incline      倾斜,趋向
hoist        提升
spy          间谍
bypass       旁路,绕行
expansive    广大的,任性的
grace        恩典
graceful     优美,优雅
investigate  调查,探讨
smooth       光滑,平整
press        按,压
forbid       禁止
forbidden    被禁止
dirty        脏
aforementioned  前述的
modern       现代
mitigate     减轻,缓和
instrument   仪器
coverage     复盖,所包括的范围
architecture 建筑,结构
insight      眼光
lighthouse   灯塔,岸标
eager        急于
intermediate 中间,调解
grasp        把握, 掌握
breeze       微风,逃走
insert       插入
abandon      放弃
faith        信仰
abortion     流产
broad        广阔
abroad       国外
fame         名誉
absorb       吸收
fluid        液体的
acid         酸
presume      假设
advocate     主张,拥护
hate         讨厌
accent       重音,口音
fog          雾
accurate     准确,精确
bevel        斜角
brush        刷
chalk        粉笔
curve        曲线
daub         涂抹,弄脏
distort      歪曲
dodge        躲闪
